campaign_name,ad_group,match_type,keyword,target_url,suggested_max_cpc_usd,negative_keywords
US-Hardware-Core,Screwdrivers-Phrase,phrase,"precision screwdriver set","https://www.sexwomen.mom/?section=shop&q=precision%20screwdriver%20set",0.85,"free,manual,pdf,download,used"
US-Hardware-Core,Screwdrivers-Phrase,phrase,"electronics repair screwdriver kit","https://www.sexwomen.mom/?section=shop&q=electronics%20repair%20screwdriver",0.92,"free,manual,pdf,download,used"
US-Hardware-Core,Screwdrivers-Exact,exact,"micro screwdriver set","https://www.sexwomen.mom/?section=shop&q=micro%20screwdriver%20set",0.88,"free,manual,pdf,download,used"
US-Hardware-Core,Pliers-Phrase,phrase,"needle nose pliers","https://www.sexwomen.mom/?section=shop&q=needle%20nose%20pliers",0.78,"medical,orthodontic,free,used"
US-Hardware-Core,Pliers-Phrase,phrase,"wire cutter pliers","https://www.sexwomen.mom/?section=shop&q=wire%20cutter%20pliers",0.82,"industrial machine,free,used"
US-Hardware-Core,Pliers-Exact,exact,"slip joint pliers","https://www.sexwomen.mom/?section=shop&q=slip%20joint%20pliers",0.74,"free,used"
US-Hardware-Core,Measuring-Phrase,phrase,"steel tape measure 5m","https://www.sexwomen.mom/?section=shop&q=steel%20tape%20measure",0.66,"app,calculator,free,used"
US-Hardware-Core,Measuring-Phrase,phrase,"laser distance meter","https://www.sexwomen.mom/?section=shop&q=laser%20distance%20meter",0.97,"rental,manual,pdf,used"
US-Hardware-Core,Measuring-Exact,exact,"digital angle gauge","https://www.sexwomen.mom/?section=shop&q=digital%20angle%20gauge",0.89,"free,used"
US-Hardware-Core,DrillBits-Phrase,phrase,"impact driver bit set","https://www.sexwomen.mom/?section=shop&q=impact%20driver%20bit%20set",1.05,"free,pdf,used"
US-Hardware-Core,DrillBits-Phrase,phrase,"titanium drill bit set","https://www.sexwomen.mom/?section=shop&q=titanium%20drill%20bit%20set",0.98,"free,pdf,used"
US-Hardware-Core,DrillBits-Exact,exact,"masonry drill bit set","https://www.sexwomen.mom/?section=shop&q=masonry%20drill%20bit%20set",0.91,"free,pdf,used"
US-Hardware-Core,Fasteners-Phrase,phrase,"wall anchor assortment","https://www.sexwomen.mom/?section=shop&q=wall%20anchor%20assortment",0.77,"free,pdf,used"
US-Hardware-Core,Fasteners-Phrase,phrase,"stainless screw kit","https://www.sexwomen.mom/?section=shop&q=stainless%20screw%20kit",0.83,"free,pdf,used"
US-Hardware-Core,Fasteners-Exact,exact,"bolt nut washer kit","https://www.sexwomen.mom/?section=shop&q=bolt%20nut%20washer%20kit",0.88,"free,pdf,used"
US-Hardware-Core,Utility-Phrase,phrase,"retractable utility knife","https://www.sexwomen.mom/?section=shop&q=retractable%20utility%20knife",0.86,"weapon,free,used"
US-Hardware-Core,Utility-Phrase,phrase,"folding pocket multi tool","https://www.sexwomen.mom/?section=shop&q=folding%20pocket%20multi%20tool",0.93,"weapon,free,used"
US-Hardware-Core,Utility-Exact,exact,"magnetic pickup tool led","https://www.sexwomen.mom/?section=shop&q=magnetic%20pickup%20tool%20led",0.69,"free,used"
