sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-SKT-029,ratchet-socket-set-46pc-1-4in,Socket and Ratchet Sets,Ratchet Socket Set 46pc 1/4in,Compact socket set for daily repairs and assembly,Includes common metric sockets extension bars and reversible ratchet for bike furniture and light mechanical jobs,32.99,42.99,66,true,false,
MT-SKT-030,deep-socket-set-10pc-metric,Socket and Ratchet Sets,Deep Socket Set 10pc Metric,Deep reach sockets for recessed nuts and studs,Chrome vanadium sockets with clear size marking for engine bay and appliance maintenance tasks,24.99,32.99,78,true,false,
MT-SKT-031,impact-socket-set-13pc-1-2in,Socket and Ratchet Sets,Impact Socket Set 13pc 1/2in,Impact rated sockets for high torque tools,Black phosphate finish and laser sizing improve durability for wheel and suspension service,39.99,49.99,52,true,false,
MT-SKT-032,universal-joint-socket-adapter-kit-4pc,Socket and Ratchet Sets,Universal Joint Socket Adapter Kit 4pc,Flexible adapters for angled fastener access,Connects ratchets and extensions to reach hidden bolts in confined engine and cabinet spaces,14.99,19.99,120,true,false,
MT-WRN-029,combination-wrench-set-12pc-metric,Wrench and Spanner Tools,Combination Wrench Set 12pc Metric,Open and box end wrench set for general service,Slim profile heads and corrosion resistant finish support reliable grip across common metric sizes,36.99,46.99,58,true,false,
MT-WRN-030,adjustable-wrench-10in-wide-jaw,Wrench and Spanner Tools,Adjustable Wrench 10in Wide Jaw,Wide jaw adjustable wrench for plumbing and hardware,Smooth worm gear adjustment and anti slip handle provide stable torque in daily repair use,18.99,25.99,102,true,false,
MT-WRN-031,flare-nut-wrench-set-5pc,Wrench and Spanner Tools,Flare Nut Wrench Set 5pc,Line wrench set for brake and fuel fittings,Six point contact helps prevent rounding on soft metal nuts during automotive and hydraulic service,27.99,35.99,64,true,false,
MT-WRN-032,crowfoot-wrench-set-11pc,Crowfoot and Specialty Wrenches,Crowfoot Wrench Set 11pc,Low clearance crowfoot set for hard to reach fittings,Works with extension and torque wrench for line and manifold fasteners in narrow compartments,29.99,38.99,56,true,false,
MT-CLP-029,quick-release-bar-clamp-12in-2pack,Clamps and Vises,Quick Release Bar Clamp 12in 2pack,One hand clamp pair for woodworking and glue ups,Reinforced bar and fast release trigger speed alignment and assembly tasks on bench projects,21.99,28.99,88,true,false,
MT-CLP-030,spring-clamp-set-20pc-heavy-duty,Clamps and Vises,Spring Clamp Set 20pc Heavy Duty,Assorted spring clamps for shop and photo setups,Strong spring force and pivot pads hold material securely without surface damage,17.99,23.99,124,true,false,
MT-CLP-031,bench-vise-4in-swivel-base,Clamps and Vises,Bench Vise 4in Swivel Base,Cast vise with swivel base for stable workholding,Jaw liners and smooth spindle action secure metal wood and plastic parts for cutting and drilling,54.99,69.99,34,true,false,
MT-CLP-032,corner-clamp-set-4pc-90-degree,Clamps and Vises,Corner Clamp Set 4pc 90 Degree,Right angle clamp kit for frame and box assembly,Holds boards at true ninety degrees to improve accuracy in cabinet and picture frame builds,19.99,26.99,92,true,false,
MT-MEA-029,digital-caliper-150mm-stainless,Measuring and Layout,Digital Caliper 150mm Stainless,Precision caliper with inch and millimeter readout,Large display and zero reset function support accurate inside outside and depth measurement tasks,28.99,36.99,70,true,false,
MT-MEA-030,angle-finder-digital-bevel-gauge,Measuring and Layout,Angle Finder Digital Bevel Gauge,Digital angle tool for saw and layout setup,Locking arm and backlit display speed angle transfer for trim flooring and framing work,23.99,31.99,82,true,false,
MT-MEA-031,marking-gauge-combo-set-3pc,Measuring and Layout,Marking Gauge Combo Set 3pc,Layout marking set for accurate cut lines,Includes wheel gauge depth gauge and scribe for woodworking joinery and cabinet projects,26.99,34.99,64,true,false,
MT-MEA-032,center-punch-set-automatic-2pc,Measuring and Layout,Center Punch Set Automatic 2pc,Spring loaded punch set for precise drill starts,Adjustable impact strength helps prevent drill bit walking on metal and plastic surfaces,13.99,18.99,118,true,false,
MT-DRL-029,screw-extractor-and-left-bit-set-15pc,Drilling and Hole Prep,Screw Extractor and Left Bit Set 15pc,Remove stripped screws and broken bolts quickly,Left handed drill bits with extractors recover damaged fasteners in maintenance and repair jobs,24.99,32.99,76,true,false,
MT-DRL-030,tap-and-drill-set-m3-m10-16pc,Drilling and Hole Prep,Tap and Drill Set M3-M10 16pc,Thread cutting set for metal and hardware repairs,Includes matching taps and drill sizes for clean internal threads across common metric sizes,34.99,44.99,48,true,false,
MT-DRL-031,hole-saw-kit-bi-metal-17pc,Drilling and Hole Prep,Hole Saw Kit Bi Metal 17pc,Multi size hole saw set for wood and plastic cuts,Arbor and pilot bit system speeds clean openings for conduit cable and fixture installs,38.99,49.99,44,true,false,
MT-DRL-032,hex-shank-countersink-and-deburr-6pc,Drilling and Hole Prep,Hex Shank Countersink and Deburr 6pc,Countersink set for flush screws and smooth edge finishing,Hex shank design changes fast on drills and drivers for woodworking and sheet work,19.99,25.99,86,true,false,
MT-FST-029,rivet-nut-assortment-kit-m3-m8-300pc,Fasteners and Anchors,Rivet Nut Assortment Kit M3-M8 300pc,Threaded insert assortment for sheet metal mounting,Zinc plated inserts improve pull strength for panels brackets and enclosure builds,25.99,33.99,72,true,false,
MT-FST-030,thread-repair-insert-kit-m6-90pc,Fasteners and Anchors,Thread Repair Insert Kit M6 90pc,Restore damaged threads in metal components,Includes inserts installation tool and drill bits to rebuild stripped M6 threads reliably,31.99,40.99,58,true,false,
MT-FST-031,split-lock-washer-assortment-900pc,Fasteners and Anchors,Split Lock Washer Assortment 900pc,Large lock washer assortment for vibration resistance,Organized metric and imperial sizes help secure assemblies in automotive and workshop equipment,16.99,22.99,138,true,false,
MT-FST-032,heat-shrink-tubing-kit-530pc-adhesive,Fasteners and Anchors,Heat Shrink Tubing Kit 530pc Adhesive,Lined tubing assortment for insulated wire protection,Dual wall heat shrink seals splices against moisture and abrasion for electrical repairs and upgrades,22.99,29.99,94,true,false,
